slug	name	package_group	attack_category	packages	description	url
exploitdb	exploitdb	exploitation	资源开发	exploitdb,exploitdb,searchsploit	Searchable Exploit Database archive Searchable archive from The Exploit Database. https://www.exploit-db.com/	https://www.kali.org/tools/exploitdb/
exploitdb-bin-sploits	exploitdb-bin-sploits	utils		exploitdb-bin-sploits,exploitdb-bin-sploit	The Exploit Database’s archive of binary exploits Searchable binary exploits from The Exploit Database. https://www.exploit-db.com	https://www.kali.org/tools/exploitdb-bin-sploits/
exploitdb-papers	exploitdb-papers	utils	资源开发	exploitdb-papers,exploitdb-papers	The Exploit Database’s archive of papers & ezines Searchable papers & ezines archives from The Exploit Database. https://www.exploit-db.com/papers	https://www.kali.org/tools/exploitdb-papers/
ext3grep	ext3grep	forensics	数字取证	ext3grep,ext3grep	Tool to help recover deleted files on ext3 filesystems ext3grep is a simple tool intended to aid anyone who accidentally deletes a file on an ext3 filesystem, only to find that they wanted it shortly thereafter. This package is useful in forensics investigations.	https://www.kali.org/tools/ext3grep/
ext4magic	ext4magic	forensics	数字取证	ext4magic,ext4magic	Recover deleted files from ext3 or ext4 partitions ext4magic is a file carver (or file carving). It can be used when recovering from disasters or in digital forensics activities. The deletion of files in ext3/4 filesystems can not be easily reversed. Zero out of the block references in the inodes makes that impossible. Experiences with other programs have proved that is possible restore sufficient information	https://www.kali.org/tools/ext4magic/
extundelete	extundelete	forensics	数字取证	extundelete,extundelete	Utility to recover deleted files from ext3/ext4 partition extundelete uses the information stored in the partition’s journal to attempt to recover a file that has been deleted. There is no guarantee that any particular file will be able to be undeleted.	https://www.kali.org/tools/extundelete/
eyewitness	eyewitness	information-gathering	服务与其它工具	eyewitness,eyewitness,geckodriver	Rapid web application triage tool EyeWitness is designed to take screenshots of websites, provide some server header info, and identify default credentials if possible. Inspiration came from Tim Tomes’s PeepingTom Script. EyeWitness is designed to run on Kali Linux. It will auto detect the file you give it with the -f flag as either being a text file with URLs on each new	https://www.kali.org/tools/eyewitness/
faraday-agent-dispatcher	faraday-agent-dispatcher	utils		faraday-agent-dispatcher,faraday-dispatcher	Helper to develop integrations with Faraday (Python 3) This package contains Faraday Agents Dispatcher. It helps user develop integrations with Faraday written in any language. This package installs the library for Python 3.	https://www.kali.org/tools/faraday-agent-dispatcher/
faraday-cli	faraday-cli	utils		faraday-cli,faraday-cli	Faraday on the terminal This package contains the official client that make automating your security workflows, easier.	https://www.kali.org/tools/faraday-cli/
fatcat	fatcat	utils		fatcat,fatcat	FAT filesystem explore, extract, repair, and forensic tool fatcat is a tool to explore, extract, repair and forensic FAT filesystem. Its features: - Get information about FAT filesystem; - Explore FAT file system; - Read file or extract directories;	https://www.kali.org/tools/fatcat/
fcrackzip	fcrackzip	passwords	凭据访问	fcrackzip,fcrackzip,fcrackzipinfo	Password cracker for zip archives fcrackzip is a fast password cracker partly written in assembler. It is able to crack password protected zip files with brute force or dictionary based attacks, optionally testing with unzip its results. It can also crack cpmask’ed images. This package is useful for pentesters, ethical hackers and forensics	https://www.kali.org/tools/fcrackzip/
fern-wifi-cracker	fern-wifi-cracker	wireless	凭据访问	fern-wifi-cracker,fern-wifi-cracker	Automated Wi-Fi cracker This package contains a Wireless security auditing and attack software program written using the Python Programming Language and the Python Qt GUI library, the program is able to crack and recover WEP/WPA/WPS keys and also run other network based attacks on wireless or	https://www.kali.org/tools/fern-wifi-cracker/
feroxbuster	feroxbuster	information-gathering	侦察	feroxbuster,feroxbuster	Fast, simple, recursive content discovery tool written in Rust feroxbuster is a tool designed to perform Forced Browsing. Forced browsing is an attack where the aim is to enumerate and access resources that are not referenced by the web application, but are still accessible by an attacker. feroxbuster uses brute force combined with a wordlist to search	https://www.kali.org/tools/feroxbuster/
ferret-sidejack	ferret-sidejack	web	收集	ferret-sidejack,ferret-sidejack	Monitors data and extracts interesting data This tool extracts interesting bits from network traffic. One use is to feed the “hamster” tool. Another use is to dump the output intoa text file, then use indexers and grep programs to analyze it.	https://www.kali.org/tools/ferret-sidejack/
ffuf	ffuf	utils	侦察	ffuf,ffuf	Fast web fuzzer written in Go (program) ffuf is a fast web fuzzer written in Go that allows typical directory discovery, virtual host discovery (without DNS records) and GET and POST parameter fuzzing. This program is useful for pentesters, ethical hackers and forensics experts. It also can be used for security tests.	https://www.kali.org/tools/ffuf/
fierce	fierce	information-gathering	发现	fierce,fierce	Domain DNS scanner Fierce is a semi-lightweight scanner that helps locate non-contiguous IP space and hostnames against specified domains. It’s really meant as a pre-cursor to nmap, unicornscan, nessus, nikto, etc, since all of those require that you already know what IP space you are looking for. This does not perform exploitation and does not scan the whole internet	https://www.kali.org/tools/fierce/
fiked	fiked	sniffing-spoofing	收集	fiked,fiked	Cisco VPN attack tool FakeIKEd, or fiked for short, is a fake IKE daemon supporting just enough of the standards and Cisco extensions to attack commonly found insecure Cisco VPN PSK+XAUTH based IPsec authentication setups in what could be described as a semi MitM attack. Fiked can impersonate a	https://www.kali.org/tools/fiked/
finalrecon	finalrecon	utils	侦察	finalrecon,finalrecon	Fast and simple Python script for web reconnaissance A fast and simple Python script for web reconnaissance that follows a modular structure and provides detailed information on various areas.	https://www.kali.org/tools/finalrecon/
findomain	findomain	utils	侦察	findomain,findomain	Fastest and most complete solution for domain recognition Findomain is fastest and most complete solution for domain recognition. It supports screenshoting, port scanning, HTTP checks, data imports from other tools, subdomain monitoring, alerts via Discord, Slack & Telegram, multiple API Keys for sourcing and much more.	https://www.kali.org/tools/findomain/
firefox-developer-edition-kbx	firefox-developer-edition-kbx	utils		firefox-developer-edition-en-us-kbx,firefox-developer-edition-en-us-kbx	Mozilla Firefox web browser - Developer Edition - en-US Firefox is a powerful, extensible web browser with support for modern web application technologies. This is the Developer Edition, running in a container with help from kaboxer, localized for en-US	https://www.kali.org/tools/firefox-developer-edition-kbx/
firewalk	firewalk	information-gathering	发现	firewalk,firewalk	Active reconnaissance network security tool Firewalk is an active reconnaissance network security tool that attempts to determine what layer 4 protocols a given IP forwarding device will pass. It works by sending out TCP or UDP packets with a TTL one hop greater than the targeted gateway. If the gateway allows the traffic, it will forward the packets to the next hop where they will expire and elicit an ICMP_TIME_EXCEEDED	https://www.kali.org/tools/firewalk/
firmware-mod-kit	firmware-mod-kit	forensics		firmware-mod-kit	Deconstruct and reconstruct firmware images The Firmware Mod Kit allows for easy deconstruction and reconstruction of firmware images for various embedded devices. While it primarily targets Linux based routers, it should be compatible with most firmware that makes use of common firmware formats and file systems such as TRX/uImage and SquashFS/CramFS.	https://www.kali.org/tools/firmware-mod-kit/
flashrom	flashrom	hardware		flashrom,flashrom,libflashrom-dev,libflashrom1	Identify, read, write, erase, and verify BIOS/ROM/flash chips flashrom is a tool for identifying, reading, writing, verifying and erasing flash chips. It’s often used to flash BIOS/EFI/coreboot/firmware/optionROM images in-system using a supported mainboard, but it also supports flashing of network cards (NICs), SATA controller cards, and other external devices which can program flash chips.	https://www.kali.org/tools/flashrom/
fluxion	fluxion	utils	收集	fluxion,fluxion	Security auditing and social-engineering research tool Fluxion is a security auditing and social-engineering research tool. It is a remake of linset by vk496 with (hopefully) fewer bugs and more functionality. The script attempts to retrieve the WPA/WPA2 key from a target access point by means of a social engineering (phishing) attack. It’s compatible with the latest release of Kali (rolling). Fluxion’s attacks’ setup is mostly manual,	https://www.kali.org/tools/fluxion/
foremost	foremost	forensics	数字取证	foremost,foremost	Forensic program to recover lost files Foremost is a forensic program to recover lost files based on their headers, footers, and internal data structures. Foremost can work on image files, such as those generated by dd, Safeback, Encase, etc, or directly on a drive. The headers and footers can be specified by a configuration file or you can use	https://www.kali.org/tools/foremost/
forensic-artifacts	forensic-artifacts	forensics		forensic-artifacts,python3-artifacts	Knowledge base of forensic artifacts (data files) A free, community-sourced, machine-readable knowledge base of forensic artifacts that the world can use both as an information source and within other tools. This package installs the data files alone, without the Python toolkit.	https://www.kali.org/tools/forensic-artifacts/
forensics-colorize	forensics-colorize	forensics		forensics-colorize,colorize,filecompare	Show differences between files using color graphics forensics-colorize is a set of tools to visually compare large files, as filesystem images, creating graphics of them. It is intuitive because the produced graphics provide a quick and perfect sense about the percentage of changes between two files. Comparing large textual files using a simple diff can produce a very big	https://www.kali.org/tools/forensics-colorize/
fping	fping	information-gathering	发现	fping,fping,fping6	Sends ICMP ECHO_REQUEST packets to network hosts fping is a ping like program which uses the Internet Control Message Protocol (ICMP) echo request to determine if a target host is responding. fping differs from ping in that you can specify any number of targets on the command line, or specify a file containing the lists of targets to ping. Instead of sending to one target until it times out or replies, fping will send out a	https://www.kali.org/tools/fping/
fragrouter	fragrouter	information-gathering	防御规避	fragrouter,fragrouter	IDS evasion toolkit Fragrouter is a network intrusion detection evasion toolkit.	https://www.kali.org/tools/fragrouter/
framework2	framework2	utils		framework2,framework2	Metasploit Framework 2 Version 2 of the Metasploit Framework. No longer updated but still useful, particularly for shellcode.	https://www.kali.org/tools/framework2/
freeradius	freeradius	utils	凭据访问	freeradius,checkrad,freeradius,rad_counter,raddebug,radmin,rlm_sqlippool_tool,freeradius-common,freeradius-config,freeradius-dhcp,freeradius-iodbc,freeradius-krb5,freeradius-ldap,freeradius-memcached,freeradius-mysql,freeradius-postgresql,freeradius-python3,freeradius-redis,freeradius-rest,freeradius-utils,radclient,radconf2json,radcrypt,raddict2json,radeapclient,radlast,radmod2json,radsecret,radsniff,radsqlrelay,radtest,radwho,radzap,rlm_ippool_tool,smbencrypt,freeradius-yubikey,libfreeradius-dev,libfreeradius3	High-performance and highly configurable RADIUS server FreeRADIUS is a high-performance RADIUS server with support for: Authentication by local files, SQL, Kerberos, LDAP, PAM, and more. Powerful policy configuration language. Proxying and replicating requests by any criteria. Support for many EAP types; TLS, PEAP, TTLS, etc.	https://www.kali.org/tools/freeradius/
freeradius-wpe	freeradius-wpe	wireless		freeradius-wpe,freeradius-wpe	FreeRadius Wireless Pawn Edition This package is FreeRadius Wireless Pawn Edition. There are supported and tested EAP Types/Inner Authentication Methods (others may also work): PEAP/PAP (OTP) PEAP/MSCHAPv2	https://www.kali.org/tools/freeradius-wpe/
freerdp3	freerdp3	information-gathering	防御规避	freerdp-proxy,freerdp-proxy,freerdp-proxy-modules,freerdp-sdl,sdl-freerdp,freerdp-shadow-x11,freerdp-shadow-cli,freerdp-wayland,wlfreerdp,freerdp-x11,xfreerdp,freerdp3-dev,freerdp3-proxy,freerdp-proxy3,freerdp3-proxy-modules,freerdp3-sdl,sdl-freerdp3,freerdp3-shadow-x11,freerdp-shadow-cli3,freerdp3-wayland,wlfreerdp3,freerdp3-x11,xfreerdp3,libfreerdp-client3-3,libfreerdp-server-proxy3-3,libfreerdp-server3-3,libfreerdp-shadow-subsystem3-3,libfreerdp-shadow3-3,libfreerdp3-3,libwinpr-tools3-3,libwinpr3-3,libwinpr3-dev,winpr-utils,winpr-hash,winpr-makecert,winpr3-utils,winpr-hash3,winpr-makecert3	FreeRDP proxy server FreeRDP is a libre client/server implementation of the Remote Desktop Protocol (RDP). This package contains the proxy server that can be used as man in the middle proxy for RDP connections.	https://www.kali.org/tools/freerdp3/
ftester	ftester	information-gathering	防御规避	ftester,freport,ftest,ftestd	Tool for testing firewalls and Intrusion Detection System (IDS) The Firewall Tester (FTester) is a tool designed for testing firewall filtering policies and Intrusion Detection System (IDS) capabilities. Features: firewall testing IDS testing	https://www.kali.org/tools/ftester/
fwbuilder	fwbuilder	protect		fwbuilder,fwb_compile_all,fwb_iosacl,fwb_ipf,fwb_ipfw,fwb_ipt,fwb_pf,fwb_pix,fwb_procurve_acl,fwbedit,fwbuilder,fwbuilder-common,fwbuilder-doc	Firewall administration tool GUI Firewall Builder consists of an object-oriented GUI and a set of policy compilers for various firewall platforms. In Firewall Builder, firewall policy is a set of rules, each rule consists of abstract objects which represent real network objects and services (hosts, routers, firewalls, networks, protocols). Firewall Builder helps the user maintain a database	https://www.kali.org/tools/fwbuilder/
galleta	galleta	forensics	数字取证	galleta,galleta	Internet Explorer cookie forensic analysis tool Galleta is a forensics tool that examines the content of cookie files produced by Microsoft Internet Explorer (MSIE). It parses the file and outputs a field separated that can be loaded in a spreadsheet.	https://www.kali.org/tools/galleta/
gdb	gdb	forensics	资源开发	gdb,gcore,gdb,gdb-add-index,gdbtui,gstack,gdb-minimal,gdb-multiarch,gdb-multiarch,gdb-source,gdbserver,gdbserver	GNU Debugger GDB is a source-level debugger, capable of breaking programs at any specific line, displaying variable values, and determining where errors occurred. Currently, gdb supports C, C++, D, Objective-C, Fortran, Java, OpenCL C, Pascal, assembly, Modula-2, Go, and Ada. A must-have for any serious programmer.	https://www.kali.org/tools/gdb/
gdb-peda	gdb-peda	utils		gdb-peda	Python Exploit Development Assistance for GDB This package contains a Python GDB script with many handy commands to help speed up exploit development process on Linux/Unix. It is also a framework for writing custom interactive Python GDB commands.	https://www.kali.org/tools/gdb-peda/
gdisk	gdisk	utils		gdisk,cgdisk,fixparts,gdisk,sgdisk	GPT fdisk text-mode partitioning tool GPT fdisk (aka gdisk) is a text-mode partitioning tool that provides utilities for Globally Unique Identifier (GUID) Partition Table (GPT) disks. Features: Edit GUID partition table definitions	https://www.kali.org/tools/gdisk/
gef	gef	utils	资源开发	gef,gef	Modern experience for GDB with advanced debugging capabilities GEF is a set of commands for x86/64, ARM, MIPS, PowerPC and SPARC to assist exploit developers and reverse-engineers when using old school GDB. It provides additional features to GDB using the Python API to assist during the process of dynamic analysis and exploit development. Application developers will also benefit from it, as GEF lifts a great part of regular GDB obscurity,	https://www.kali.org/tools/gef/
gemini-cli	gemini-cli	utils	服务与其它工具	gemini-cli,gemini-cli	Open-source AI agent This package contains an open-source AI agent that brings the power of Gemini directly into your terminal. It provides lightweight access to Gemini, giving you the most direct path from your prompt to the model.	https://www.kali.org/tools/gemini-cli/
getallurls	getallurls	utils		getallurls,getallurls	Fetch known URLs from AlienVault’s Open Threat Exchange (gau) This package contains getallurls (gau). It fetches known URLs from AlienVault’s Open Threat Exchange ( https://otx.alienvault.com ), the Wayback Machine, and Common Crawl for any given domain. Inspired by Tomnomnom’s	https://www.kali.org/tools/getallurls/
getsploit	getsploit	utils		getsploit,getsploit	Command line utility for searching and downloading exploits Inspired by searchsploit, getsploit combines two features: command line search and download. It allows you to search online for the exploits across all the most popular collections, including (but not limited to): - Exploit-DB,	https://www.kali.org/tools/getsploit/
ghidra	ghidra	respond	资源开发	ghidra,ghidra	Software Reverse Engineering Framework This package contains a software reverse engineering (SRE) framework created and maintained by the National Security Agency Research Directorate. This framework includes a suite of full-featured, high-end software analysis tools that enable users to analyze compiled code on a variety of platforms including Windows, macOS, and Linux. Capabilities include disassembly, assembly,	https://www.kali.org/tools/ghidra/
git	git	information-gathering		git,git,git-receive-pack,git-shell,git-upload-archive,git-upload-pack,scalar,git-all,git-cvs,git-cvsserver,git-doc,git-email,git-gui,git-man,git-svn,gitk,gitk,gitweb	Fast, scalable, distributed revision control system Git is popular version control system designed to handle very large projects with speed and efficiency; it is used for many high profile open source projects, most notably the Linux kernel. Git falls in the category of distributed source code management tools. Every Git working directory is a full-fledged repository with full	https://www.kali.org/tools/git/
gitleaks	gitleaks	utils		gitleaks,gitleaks,golang-github-gitleaks-gitleaks-dev	Protect and discover secrets using Gitleaks 🔑 (program) Gitleaks is a SAST tool for detecting and preventing hardcoded	https://www.kali.org/tools/gitleaks/
gitxray	gitxray	utils	凭据访问	gitxray,gitxray	Scan GitHub repositories and contributors to collect data Gitxray (short for Git X-Ray) is a multifaceted security tool designed for use on GitHub repositories. It can serve many purposes, including OSINT and Forensics. gitxray leverages public GitHub REST APIs to gather information that would otherwise be very time-consuming to obtain manually. Additionally, it seeks out information in unconventional places.	https://www.kali.org/tools/gitxray/
glibc	glibc	information-gathering		glibc-doc,glibc-source,libc-bin,getconf,getent,iconv,iconvconfig,ld.so,ldconfig,ldd,locale,localedef,pldd,tzselect,zdump,zic,libc-dev-bin,gencat,libc-devtools,memusage,memusagestat,mtrace,sotruss,sprof,libc-gconv-modules-extra,libc-l10n,libc0.3,libc0.3-dbg,libc0.3-dev,libc0.3-udeb,libc6,libc6-amd64,libc6-dbg,libc6-dev,libc6-dev-amd64,libc6-dev-i386,libc6-dev-mips32,libc6-dev-mips64,libc6-dev-mipsn32,libc6-dev-powerpc,libc6-dev-ppc64,libc6-dev-sparc,libc6-dev-sparc64,libc6-dev-x32,libc6-i386,libc6-mips32,libc6-mips64,libc6-mipsn32,libc6-powerpc,libc6-ppc64,libc6-sparc,libc6-sparc64,libc6-udeb,libc6-x32,libc6.1,libc6.1-dbg,libc6.1-dev,libc6.1-udeb,locales,locale-gen,update-locale,validlocale,locales-all,nscd,nscd,nscd	GNU C Library: Documentation Contains the complete GNU C Library ChangeLog. The GNU C Library Reference manual has been moved into glibc-doc-reference for licensing reasons.	https://www.kali.org/tools/glibc/
gnuradio	gnuradio	wireless	侦察	gnuradio,dial_tone,display_qt,gnuradio-companion,gnuradio-config-info,gr-ctrlport-monitor,gr-perf-monitorx,gr_filter_design,gr_modtool,gr_plot,gr_plot_const,gr_plot_fft,gr_plot_iq,gr_plot_psd,gr_plot_qt,gr_read_file_metadata,grcc,polar_channel_construction,tags_demo,uhd_fft,uhd_rx_cfile,uhd_rx_nogui,uhd_siggen,uhd_siggen_gui,gnuradio-dev,gnuradio-doc,libgnuradio-analog3.10.12,libgnuradio-audio3.10.12,libgnuradio-blocks3.10.12,libgnuradio-channels3.10.12,libgnuradio-digital3.10.12,libgnuradio-dtv3.10.12,libgnuradio-fec3.10.12,libgnuradio-fft3.10.12,libgnuradio-filter3.10.12,libgnuradio-iio3.10.12,libgnuradio-network3.10.12,libgnuradio-pdu3.10.12,libgnuradio-pmt3.10.12,libgnuradio-qtgui3.10.12,libgnuradio-runtime3.10.12,libgnuradio-soapy3.10.12,libgnuradio-trellis3.10.12,libgnuradio-uhd3.10.12,libgnuradio-video-sdl3.10.12,libgnuradio-vocoder3.10.12,libgnuradio-wavelet3.10.12,libgnuradio-zeromq3.10.12	GNU Radio Software Radio Toolkit GNU Radio provides signal processing blocks to implement software radios. It can be used with readily-available low-cost external RF hardware to create software-defined radios, or without hardware in a simulation-like environment. It is widely used in hobbyist, academic and commercial environments to support both wireless communications	https://www.kali.org/tools/gnuradio/
gobuster	gobuster	utils	侦察	gobuster,gobuster	High-performance discovery tool for directories, DNS and cloud storage Gobuster is a high-performance tool used to brute-force and discover: URIs (directories and files) in web sites DNS subdomains (with wildcard support) Virtual Host names on target web servers Open Amazon S3 and Google Cloud Storage (GCS) buckets	https://www.kali.org/tools/gobuster/
godoh	godoh	utils		godoh,godoh	DNS-over-HTTPS Command & Control Proof of Concept This package contains a proof of concept Command and Control framework, written in Golang, that uses DNS-over-HTTPS as a transport medium. Currently supported providers include Google, Cloudflare but also contains the ability to use traditional DNS.	https://www.kali.org/tools/godoh/
golang-github-binject-go-donut	golang-github-binject-go-donut	utils		golang-github-binject-go-donut,go-donut,golang-github-binject-go-donut-dev	Donut Injector in Go This package contains the Donut Injector ported to pure Go. This package provides the binary file go-donut generated by github-binject-go-donut.	https://www.kali.org/tools/golang-github-binject-go-donut/
goldeneye	goldeneye	utils	影响	goldeneye,goldeneye	HTTP DoS test tool GoldenEye is a HTTP DoS Test Tool. This tool can be used to test if a site is susceptible to Deny of Service (DoS) attacks. Is possible to open several parallel connections against a URL to check if the web server can be compromised. The program tests the security in networks and uses ‘HTTP Keep Alive	https://www.kali.org/tools/goldeneye/
goofile	goofile	utils		goofile,goofile	Command line filetype search Use this tool to search for a specific file type in a given domain.	https://www.kali.org/tools/goofile/
google-nexus-tools	google-nexus-tools	utils		google-nexus-tools,nexus-adb,nexus-fastboot	ADB and Fastboot for use with Nexus devices Nexus Tools is an installer for the Android debug/development command-line tools ADB (Android Device Bridge) and Fastboot for Mac OS X, Linux, and Google Chrome/Chromium OS.	https://www.kali.org/tools/google-nexus-tools/
gophish	gophish	utils	初始访问	gophish,gophish,gophish-start,gophish-stop	Open-Source Phishing Toolkit This package contains an open-source phishing toolkit designed for businesses and penetration testers. It provides the ability to quickly and easily setup and execute phishing engagements and security awareness training.	https://www.kali.org/tools/gophish/
goshs	goshs	utils	数据外泄	goshs,goshs	SimpleHTTPServer written in Go This tool provides a SimpleHTTPServer written in Go, enhanced with features and security. This package contains a simple http server like the Python SimpleHTTPServer but enhanced with a lot of helpful features and security in mind.	https://www.kali.org/tools/goshs/
gospider	gospider	utils	侦察	gospider,gospider	Fast web spider written in Go This package contains a Fast web spider written in Go. The features are: - Fast web crawling - Brute force and parse sitemap.xml - Parse robots.txt - Generate and verify link from JavaScript files	https://www.kali.org/tools/gospider/
gowitness	gowitness	utils		gowitness,gowitness	Web screenshot utility using Chrome Headless gowitness is a website screenshot utility written in Golang, that uses Chrome Headless to generate screenshots of web interfaces using the command line, with a handy report viewer to process results. Both Linux and macOS is supported, with Windows support mostly working. Inspiration for gowitness comes from Eyewitness. If you are looking for	https://www.kali.org/tools/gowitness/
gpart	gpart	forensics		gpart,gpart	Guess PC disk partition table, find lost partitions Gpart is a tool which tries to guess the primary partition table of a PC-type disk in case the primary partition table in sector 0 is damaged, incorrect or deleted. It is also good at finding and listing the types, locations, and sizes of inadvertently-deleted partitions, both primary and logical. It gives you the	https://www.kali.org/tools/gpart/
gparted	gparted	forensics		gparted,gparted,gparted-common	GNOME partition editor GParted uses libparted to detect and manipulate devices and partition tables while several (optional) filesystem tools provide support for filesystems not included in libparted.	https://www.kali.org/tools/gparted/
gpp-decrypt	gpp-decrypt	passwords		gpp-decrypt,gpp-decrypt	Group Policy Preferences decrypter A simple ruby script that will decrypt a given GPP encrypted string.	https://www.kali.org/tools/gpp-decrypt/
gqrx-sdr	gqrx-sdr	wireless	侦察	gqrx-sdr,gqrx	Software defined radio receiver Gqrx works with hardware supported by gr-osmosdr, including Funcube Dongle, RTL-SDR, Airspy, HackRF, BladeRF, RFSpace, USRP and SoapySDR. Gqrx can operate as an AM/FM/SSB receiver with audio output or as an FFT-only instrument. The built-in Gqrx AFSK1200 decoder can decode and display AX.25 packets. There are also various hooks for	https://www.kali.org/tools/gqrx-sdr/
gr-air-modes	gr-air-modes	wireless		gr-air-modes,modes_rx,libgnuradio-air-modes1t64	Gnuradio Mode-S/ADS-B radio A software-defined radio receiver for Mode S transponder signals, including ADS-B reports from equipped aircraft. Multiple output formats are supported: Raw (or minimally processed) output of packet data Parsed text	https://www.kali.org/tools/gr-air-modes/
gr-iqbal	gr-iqbal	wireless		gr-iqbal,libgnuradio-iqbalance3.9.0	GNU Radio Blind IQ imbalance estimator and correction The general idea is to suppress symmetrical images caused by IQ imbalance in the RX path of quadrature receivers. It’s composed of two subblocks: “IQ Bal Fix”: This applies the actual correction. to a complex stream. The correction parameters are only magnitude/phase and the	https://www.kali.org/tools/gr-iqbal/
gr-osmosdr	gr-osmosdr	wireless		gr-osmosdr,osmocom_fft,osmocom_siggen_nogui,gr-osmosdr-doc,libgnuradio-osmosdr0.2.0t64	GNU Radio blocks from the OsmoSDR project The Osmocom project is a family of projects regarding Open source mobile communications. While primarily being developed for the OsmoSDR hardware, this block as well supports: FUNcube Dongle through gr-funcube	https://www.kali.org/tools/gr-osmosdr/
graudit	graudit	utils		graudit,graudit	Grep rough audit - source code auditing tool This is a simple script and signature sets that allows you to find potential security flaws in source code using the GNU utility grep. It’s comparable to other static analysis applications like RATS, SWAAT and flaw-finder while keeping the technical requirements to a minimum and being very flexible.	https://www.kali.org/tools/graudit/
grokevt	grokevt	forensics	数字取证	grokevt,grokevt-addlog,grokevt-builddb,grokevt-dumpmsgs,grokevt-findlogs,grokevt-parselog,grokevt-ripdll	Scripts for reading Microsoft Windows event log files GrokEVT is a collection of scripts built for reading Microsoft Windows NT/2000/XP/2003 event log files. Currently the scripts work together on one or more mounted Microsoft Windows partitions to extract all information needed (registry entries, message templates, and log files) to convert the logs to a human-readable format.	https://www.kali.org/tools/grokevt/
gsocket	gsocket	utils		gsocket,blitz,gs-mount,gs-netcat,gs-sftp,gsocket	Allows two machines on different networks to communicate with each other Abandon the thought of IP Addresses and Port Numbers. Instead start thinking that two programs should be able to communicate with each other as long as they know the same secret (rather than each other’s IP Address and Port Number). The Global Socket library facilitates this: It locally derives temporary session keys and IDs and connects two programs through the Global	https://www.kali.org/tools/gsocket/
gss-ntlmssp	gss-ntlmssp	utils		gss-ntlmssp,gss-ntlmssp-dev	GSSAPI NTLMSSP Mechanism – MIT GSSAPI plugin GSS-NTLMSSP is a GSSAPI mechanism plugin that implements NTLMSSP. NTLMSSP is a Microsoft Security Provider that implements various versions and falvors of the NTLM challenge-response family. GSS-NTLMSSP, implements both NTLM and NTLMv2 and all the various security variants to the key exchange that Microsoft introduced and	https://www.kali.org/tools/gss-ntlmssp/
gtkhash	gtkhash	utils		caja-gtkhash,gtkhash,gtkhash,nemo-gtkhash,thunar-gtkhash	libb2-1 libc6 libcaja-extension1 libgcrypt20 libglib2.0-0t64 libgtk-3-0t64	https://www.kali.org/tools/gtkhash/
guymager	guymager	forensics	数字取证	guymager,guymager	Forensic imaging tool based on Qt The forensic imager contained in this package, guymager, was designed to support different image file formats, to be most user-friendly and to run really fast. It has a high speed multi-threaded engine using parallel compression for best performance on multi-processor and hyper-threading machines.	https://www.kali.org/tools/guymager/
gvm	gvm	vulnerability	侦察	gvm,gvm-check-setup,gvm-setup,gvm-start,gvm-stop	Remote network security auditor - metapackage and useful scripts The Greenbone Vulnerability Manager is a modular security auditing tool, used for testing remote systems for vulnerabilities that should be fixed. This package installs all the required packages. It provides scripts to setup, start and stop the GVM services. The tool was previously named OpenVAS.	https://www.kali.org/tools/gvm/
h8mail	h8mail	utils		h8mail,h8mail	Email open source intelligence and breach hunting tool This package contains an email OSINT and breach hunting tool using different breach and reconnaissance services, or local breaches such as Troy Hunt’s “Collection1” and the infamous “Breach Compilation” torrent.	https://www.kali.org/tools/h8mail/
hackrf	hackrf	wireless	侦察	hackrf,hackrf_biast,hackrf_clock,hackrf_cpldjtag,hackrf_debug,hackrf_info,hackrf_operacake,hackrf_spiflash,hackrf_sweep,hackrf_transfer,hackrf-doc,hackrf-firmware,libhackrf-dev,libhackrf0	Software defined radio peripheral - utilities HackRF is an open source Software Defined Radio that can receive and transmit between 30 MHz and 6 GHz. HackRF has a 20 MHz bandwidth. It is a High Speed USB device powered by the USB bus. This package contains a set of command line utilities: hackrf_clock: HackRF clock configuration utility	https://www.kali.org/tools/hackrf/
hak5-wifi-coconut	hak5-wifi-coconut	utils		hak5-wifi-coconut,wifi_coconut	Userspace driver for the Hak5 Wi-Fi Coconut Userspace drive for USB Wi-Fi NICs and the Hak5 Wi-Fi Coconut	https://www.kali.org/tools/hak5-wifi-coconut/
hakrawler	hakrawler	web		hakrawler,hakrawler	Web crawler designed for easy, quick discovery of endpoints and assets Fast golang web crawler for gathering URLs and JavaSript file locations. This is basically a simple implementation of the awesome Gocolly library.	https://www.kali.org/tools/hakrawler/
hamster-sidejack	hamster-sidejack	web	收集	hamster-sidejack,hamster-sidejack	Sidejacking tool Hamster is tool or “sidejacking”. It acts as a proxy server that replaces your cookies with session cookies stolen from somebody else, allowing you to hijack their sessions. Cookies are sniffed using the Ferret program. You need a copy of that as well.	https://www.kali.org/tools/hamster-sidejack/
hash-identifier	hash-identifier	passwords	凭据访问	hash-identifier,hash-identifier	Tool to identify hash types Software to identify the different types of hashes used to encrypt data and especially passwords.	https://www.kali.org/tools/hash-identifier/
hashcat	hashcat	passwords	凭据访问	hashcat,hashcat,hashcat-data	World’s fastest and most advanced password recovery utility Hashcat supports five unique modes of attack for over 300 highly-optimized hashing algorithms. hashcat currently supports CPUs, GPUs, and other hardware accelerators on Linux, and has facilities to help enable distributed password cracking. Examples of hashcat supported hashing algorithms are:	https://www.kali.org/tools/hashcat/
