slug	name	package_group	attack_category	packages	description	url
powershell-empire	powershell-empire	utils	命令与控制	powershell-empire,powershell-empire,starkiller,starkiller-start,starkiller-stop	PowerShell and Python post-exploitation agent This package contains a post-exploitation framework that includes a pure-PowerShell2.0 Windows agent, and a pure Python Linux/OS X agent. It is the merge of the previous PowerShell Empire and Python EmPyre projects. The framework offers cryptologically-secure communications and a flexible architecture. On the PowerShell side, Empire implements the ability to run	https://www.kali.org/tools/powershell-empire/
powersploit	powersploit	post-exploitation	执行	powersploit,powersploit	PowerShell Post-Exploitation Framework PowerSploit is a series of Microsoft PowerShell scripts that can be used in post-exploitation scenarios during authorized penetration tests.	https://www.kali.org/tools/powersploit/
princeprocessor	princeprocessor	utils		princeprocessor,princeprocessor	Standalone password candidate generator using the PRINCE algorithm Princeprocessor is a password candidate generator and can be thought of as an advanced combinator attack. Rather than taking as input two different wordlists and then outputting all the possible two word combinations though, princeprocessor only has one input wordlist and builds “chains” of combined words. These chains can have 1 to N words from the input wordlist	https://www.kali.org/tools/princeprocessor/
procps	procps	information-gathering		libproc2-1,libproc2-dev,procps,free,hugetop,kill,pgrep,pidwait,pkill,pmap,ps,pwdx,skill,slabtop,snice,sysctl,tload,top,uptime,vmstat,w,watch	/proc file system utilities This package provides command line and full screen utilities for browsing procfs, a “pseudo” file system dynamically generated by the kernel to provide information about the status of entries in its process table (such as whether the process is running, stopped, or a “zombie”). It contains free, kill, pkill, pgrep, pmap, ps, pwdx, skill, slabtop,	https://www.kali.org/tools/procps/
protos-sip	protos-sip	vulnerability	发现	protos-sip,protos-sip	SIP test suite The purpose of this test-suite is to evaluate implementation level security and robustness of Session Initiation Protocol (SIP) implementations.	https://www.kali.org/tools/protos-sip/
proxify	proxify	utils		proxify,mitmrelay,proxify,replay-proxify	Swiss Army knife Proxy tool for HTTP/HTTPS traffic capture, manipulation This package contains a Swiss Army Knife Proxy for rapid deployments. It supports multiple operations such as request/response dump, filtering and manipulation via DSL language, upstream HTTP/Socks5 proxy. Additionally a replay utility allows to import the dumped traffic (request/responses with correct domain name) into burp or any other proxy by simply setting the	https://www.kali.org/tools/proxify/
proximoth	proximoth	utils		proximoth,proximoth	Control Frame Attack Vulnerability Detection Tool Proximoth is a command-line tool to detect Wi-Fi devices in proximity with Control Frame Attack.	https://www.kali.org/tools/proximoth/
proxmark3	proxmark3	wireless		proxmark3,proxmark3,proxmark3-common,pm3,pm3-flash,pm3-flash-all,pm3-flash-bootrom,pm3-flash-fullimage,proxmark3-doc,proxmark3-firmwares	Firmware, flasher, and client for the Proxmark3 This package contains the client and tools for the Proxmark3. It is dedicated to bringing the most out of the new features for Proxmark3 RDV4.0 new hardware and design but it will also support older hardware revisions.	https://www.kali.org/tools/proxmark3/
proxychains-ng	proxychains-ng	web	命令与控制	libproxychains4,proxychains4,proxychains4,proxychains4-daemon	Runtime shared library for proxychains-ng Proxychains is a UNIX program, that hooks network-related libc functions in dynamically linked programs via a preloaded DLL (dlsym(), LD_PRELOAD) and redirects the connections through SOCKS4a/5 or HTTP proxies. It supports TCP only (no UDP/ICMP etc). This project, proxychains-ng, is the continuation of the unmaintained	https://www.kali.org/tools/proxychains-ng/
proxytunnel	proxytunnel	web	命令与控制	proxytunnel,proxytunnel	Help SSH and other protocols through HTTP(S) proxies Proxytunnel creates tunnels through HTTP(S) proxies for any TCP based protocol. It comes in handy when one sits behind a firewall that allows for HTTP(S) traffic only. The program connects stdin and stdout to an origin server somewhere in the Internet through an industry standard HTTP or HTTPS proxy. It was originally	https://www.kali.org/tools/proxytunnel/
pskracker	pskracker	utils		pskracker,pskracker,pskracker-data	Collection of WPA/WPA2/WPS default keys generators/pingens This package contains a collection of WPA/WPA2/WPS default algorithms/password generators/pingens written in C. This is useful for testing/auditing wireless networks and contains bleeding edge algorithms.	https://www.kali.org/tools/pskracker/
pspy	pspy	utils	发现	pspy,pspy,pspy-binaries	Monitor Linux processes without root permissions pspy is a command line tool designed to snoop on processes without need for root permissions. It allows you to see commands run by other users, cron jobs, etc. as they execute. Great for enumeration of Linux systems in CTFs. Also great to demonstrate your colleagues why passing secrets as arguments on the command line is a bad idea.	https://www.kali.org/tools/pspy/
